Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Duration,Operator,Fare,Origin ID,Destination ID,Service ID
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T00:25:00+00:00,0 days 01:02:00,Ember,6.1,54,43,3jMvdzpPAt27U264Rbjq4J
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T01:11:00+00:00,0 days 01:04:00,Ember,6.1,54,43,3VUVNdYoH6ERCmp22d7nae
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T03:14:00+00:00,0 days 01:04:00,Ember,6.1,54,43,V4D4c7bFGzghFhBcTfwgCc
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T05:02:00+00:00,0 days 01:14:00,Ember,6.1,54,43,DRe6eNUQf85iqDKASU3WUi
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T05:41:00+00:00,0 days 01:02:00,Ember,6.1,54,43,42FJQSKcpmukyYRq2omRrV
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T06:03:00+00:00,0 days 01:07:00,Ember,6.1,54,43,3x2z53gKM3RNuayqCezmst
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T06:36:00+00:00,0 days 01:11:00,Ember,6.1,54,43,3g2uXGi3YjDDysMht7oUEE
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T07:04:00+00:00,0 days 01:18:00,Ember,6.1,54,43,3UNbnYUCnMevBUx3QeDFsr
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T07:40:00+00:00,0 days 01:16:00,Ember,6.1,54,43,35YmzcRwfNPzTrnEGtA3kU
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T08:04:00+00:00,0 days 01:18:00,Ember,6.1,54,43,AryrCzt7k6wLXrdssNq6aB
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T08:40:00+00:00,0 days 01:12:00,Ember,6.1,54,43,FMC3w66VKaN7eDR7PBBufq
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T09:05:00+00:00,0 days 01:12:00,Ember,6.1,54,43,6TUW5UtKkWg5bvtiFkDAVM
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T09:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43,xPZSYhRpjxFj4UHRn6FdmZ
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T10:04:00+00:00,0 days 01:13:00,Ember,6.1,54,43,KBPtJsQvMURLkvM57TQftw
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T10:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43,3Cywc3scb94w4DRdMofnZv
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T11:05:00+00:00,0 days 01:13:00,Ember,6.1,54,43,3gnsavnZjZPLu4YL8Mp8CY
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T11:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43,rgFBoP7azfKCxVedTtxmh3
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T12:05:00+00:00,0 days 01:12:00,Ember,6.1,54,43,3a7JMQpwXTPHKiwgX9JDuV
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T12:37:00+00:00,0 days 01:11:00,Ember,6.1,54,43,3x2PEbtYQL9rfnySqfPh2S
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T13:03:00+00:00,0 days 01:12:00,Ember,6.1,54,43,BhjF7c24rLyHSw3R9ftPTf
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T13:47:00+00:00,0 days 01:11:00,Ember,6.1,54,43,uKph44AcaCDniKfK3MVUUq
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T14:13:00+00:00,0 days 01:12:00,Ember,6.1,54,43,UwuaaSwPDu6pcKBYVUUjDD
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T14:42:00+00:00,0 days 01:12:00,Ember,6.1,54,43,3RKy6qUhUr9MXfYaDmuGVJ
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T15:13:00+00:00,0 days 01:13:00,Ember,6.1,54,43,iMerm9kwHALaqyyHDN8uTi
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T15:44:00+00:00,0 days 01:11:00,Ember,6.1,54,43,3YNSGgs5UsXtMTkxkfzHah
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T16:11:00+00:00,0 days 01:13:00,Ember,6.1,54,43,3QkU4YUYnCy6cQ334wYsLb
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T16:46:00+00:00,0 days 01:11:00,Ember,6.1,54,43,3DGJxrSYZCQ7ioqzVRTEwK
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T17:11:00+00:00,0 days 01:09:00,Ember,6.1,54,43,3NF8C7g6Fk47XS4CaE4fZE
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T17:46:00+00:00,0 days 01:06:00,Ember,6.1,54,43,ay3u2KgiW3JyGMpHdwVGKx
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T18:11:00+00:00,0 days 01:05:00,Ember,6.1,54,43,3MqPrhV2AJ8P9wWLgFoXcY
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T18:42:00+00:00,0 days 01:04:00,Ember,6.1,54,43,Tne6TxdNPNteAk2oJXfXqg
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T19:09:00+00:00,0 days 01:04:00,Ember,6.1,54,43,8ms4mbxPgEfFkg8ZwACWBH
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T19:41:00+00:00,0 days 01:03:00,Ember,6.1,54,43,7rXW24cxumaRaLgqzznZJE
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T20:08:00+00:00,0 days 01:04:00,Ember,6.1,54,43,3fGKjHjcEFKohCcVncdD9X
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T20:41:00+00:00,0 days 00:57:00,Ember,6.1,54,43,E4LRAw345nPikPThsxLJYT
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T21:08:00+00:00,0 days 00:58:00,Ember,6.1,54,43,3xcRNzEh8kiSDSMKmhza5A
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T21:39:00+00:00,0 days 00:56:00,Ember,6.1,54,43,YhFy3KuxM23SXXMPwzaAHt
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T22:07:00+00:00,0 days 00:58:00,Ember,6.1,54,43,pc8EKQ2F7UnwGp34bxToj4
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T22:44:00+00:00,0 days 00:56:00,Ember,6.1,54,43,32mQ5HEfeDLczzMk2wAdsV
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T23:17:00+00:00,0 days 00:57:00,Ember,6.1,54,43,5MvMhd2bQpYooQbKnkPsde
Bridge of Earn,BOE,Haymarket,EDI,2024-10-29T00:30:00+00:00,0 days 01:02:00,Ember,6.1,54,43,gkKBJYpjsHnzLCKKxmJLRM
