Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Duration,Operator,Fare,Origin ID,Destination ID
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T00:25:00+00:00,0 days 01:02:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T01:11:00+00:00,0 days 01:04:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T03:14:00+00:00,0 days 01:04:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T05:02:00+00:00,0 days 01:14:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T05:41:00+00:00,0 days 01:02:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T06:03:00+00:00,0 days 01:07:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T06:36:00+00:00,0 days 01:11:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T07:04:00+00:00,0 days 01:18:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T07:40:00+00:00,0 days 01:16:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T08:04:00+00:00,0 days 01:18:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T08:40:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T09:05:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T09:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T10:04:00+00:00,0 days 01:13:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T10:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T11:05:00+00:00,0 days 01:13:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T11:39:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T12:05:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T12:37:00+00:00,0 days 01:11:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T13:03:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T13:47:00+00:00,0 days 01:11:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T14:13:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T14:42:00+00:00,0 days 01:12:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T15:13:00+00:00,0 days 01:13:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T15:44:00+00:00,0 days 01:11:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T16:11:00+00:00,0 days 01:13:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T16:46:00+00:00,0 days 01:11:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T17:11:00+00:00,0 days 01:09:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T17:46:00+00:00,0 days 01:06:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T18:11:00+00:00,0 days 01:05:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T18:42:00+00:00,0 days 01:04:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T19:09:00+00:00,0 days 01:04:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T19:41:00+00:00,0 days 01:03:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T20:41:00+00:00,0 days 00:57:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T21:08:00+00:00,0 days 00:58:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T21:39:00+00:00,0 days 00:56:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T22:07:00+00:00,0 days 00:58:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T22:44:00+00:00,0 days 00:56:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-28T23:17:00+00:00,0 days 00:57:00,Ember,6.1,54,43
Bridge of Earn,BOE,Haymarket,EDI,2024-10-29T00:30:00+00:00,0 days 01:02:00,Ember,6.1,54,43
