Origin Name,Destination Name,Departure Date,Arrival Date,Duration (minutes),Price,Origin ID,Destination ID,Service ID
Bridgend,Bristol Airport,2024-10-28T01:45:00+00:00,2024-10-28T03:45:00+00:00,120,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:d48fac1c-aad0-4390-8467-2ae3f7a5aed1:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-28T04:30:00+00:00,2024-10-28T06:55:00+00:00,145,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:2768dadb-c853-404b-9c38-bd9299fb3575:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-28T07:45:00+00:00,2024-10-28T10:05:00+00:00,140,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:293aa0b2-5feb-4af1-ba62-11b97e186cf9:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-28T10:30:00+00:00,2024-10-28T12:40:00+00:00,130,26.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:c655617f-7684-441e-84bd-733eaafdca6a:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-28T14:15:00+00:00,2024-10-28T16:30:00+00:00,135,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:d6949503-a0de-4c1f-86d0-a6c11ce8b2bc:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-28T23:00:00+00:00,2024-10-29T01:20:00+00:00,140,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:35e7c553-4b8a-4922-9cbf-db413e68bb0e:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T01:45:00+00:00,2024-10-29T03:45:00+00:00,120,6.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:c247cd34-905e-488e-94b9-506c26e02d4d:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T01:45:00+00:00,2024-10-29T03:45:00+00:00,120,6.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:c247cd34-905e-488e-94b9-506c26e02d4d:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T04:30:00+00:00,2024-10-29T06:55:00+00:00,145,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:fbb6bb7a-7f47-4378-8894-23e05842cf0a:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T07:45:00+00:00,2024-10-29T10:05:00+00:00,140,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:d4c5de49-4781-487e-b6b4-12b68b99f1cb:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T10:30:00+00:00,2024-10-29T12:40:00+00:00,130,8.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:cdb64085-d339-440d-b365-044ce423901f:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T14:15:00+00:00,2024-10-29T16:30:00+00:00,135,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:62500ed2-b190-4279-95a5-9b339b4c6a57:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-29T23:00:00+00:00,2024-10-30T01:20:00+00:00,140,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:f69bbd31-3421-4299-a3ac-a92f5593aa11:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T01:45:00+00:00,2024-10-30T03:45:00+00:00,120,6.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:cdaa157d-f2ed-4573-b4b1-06e784ec9cdd:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T01:45:00+00:00,2024-10-30T03:45:00+00:00,120,6.99,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:cdaa157d-f2ed-4573-b4b1-06e784ec9cdd:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T04:30:00+00:00,2024-10-30T06:55:00+00:00,145,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:8c21b05e-95a7-4037-91b2-1925d7de8e59:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T07:45:00+00:00,2024-10-30T10:05:00+00:00,140,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:e7a2c8e5-a453-4f7f-950d-ff1b0ce6a2a1:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T10:30:00+00:00,2024-10-30T12:40:00+00:00,130,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:2e123362-f5de-4487-8632-2a30f50cbcd3:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T14:15:00+00:00,2024-10-30T16:30:00+00:00,135,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:af1aea10-bfd8-4141-9a32-a0b628301e3a:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-30T23:00:00+00:00,2024-10-31T01:20:00+00:00,140,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:f115408e-4337-48d2-a3b5-df6be4528980:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-31T01:45:00+00:00,2024-10-31T03:45:00+00:00,120,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:fce1c8d0-acbf-45b8-9469-fbf0f03ff86e:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-31T01:45:00+00:00,2024-10-31T03:45:00+00:00,120,6.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:fce1c8d0-acbf-45b8-9469-fbf0f03ff86e:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
Bridgend,Bristol Airport,2024-10-31T04:30:00+00:00,2024-10-31T06:55:00+00:00,145,7.49,07097793-72d8-4e93-a4d3-edb896ce185a,4523c36d-97dd-4d11-98f1-bd396263be61,direct:c0ecd3c6-a5b8-4d3e-9ba8-a93d663b2fdd:f3c3dfb2-35fa-49b0-b0df-332223447b15:4fddbb4a-7106-4de9-bcea-5a0db9f71873
